Chủ đề,Lịch trình
"""theme""","""Khám phá thiên nhiên"","
"""trip_plans""",[
"""details""",[
"""date""","""Day 1"","
"""time_range""","""8:00 - 10:00"","
"""location""","""Cù Lao Chàm"","
"""province_city""","""Quảng Nam"","
"""activity""","""Tham quan hòn đảo, tắm biển"","
"""cost""","""500000 VNĐ"""
"""date""","""Day 1"","
"""time_range""","""12:00 - 14:00"","
"""location""","""Bà Nà Hills"","
"""province_city""","""Đà Nẵng"","
"""activity""","""Leo núi, tham quan cảnh đẹp"","
"""cost""","""600000 VNĐ"""
"""date""","""Day 2"","
"""time_range""","""9:00 - 11:00"","
"""location""","""Suối Khoáng nóng Thanh Bình"","
"""province_city""","""Quảng Nam"","
"""activity""","""Tắm suối khoáng"","
"""cost""","""200000 VNĐ"""
"""date""","""Day 3"","
"""time_range""","""10:00 - 12:00"","
"""location""","""Làng gốm Thanh Hà"","
"""province_city""","""Quảng Nam"","
"""activity""","""Tham quan làng gốm truyền thống"","
"""cost""","""0 VNĐ"""
