Theme,Date,Time Range,Location,Province/City,Activity,Cost
1. Lịch trình Khám phá thiên nhiên:,- Ngày 1,N/A,,N/A,N/A,0
1. Lịch trình Khám phá thiên nhiên:,- 7,N/A,00 AM - 8,N/A,N/A,0
1. Lịch trình Khám phá thiên nhiên:,- 8,N/A,30 AM - 12,N/A,N/A,0
1. Lịch trình Khám phá thiên nhiên:,- 12,N/A,30 PM - 1,N/A,N/A,0
1. Lịch trình Khám phá thiên nhiên:,- 2,N/A,00 PM - 5,N/A,N/A,0
1. Lịch trình Khám phá thiên nhiên:,- 6,N/A,00 PM - 7,N/A,N/A,0
1. Lịch trình Khám phá thiên nhiên:,- 9,00 PM - Đêm qua tại Mộc Nhiên Homestay,Đà Nẵng (200.000 VNĐ),N/A,N/A,0
1. Lịch trình Khám phá thiên nhiên:,- Ngày 2,N/A,,N/A,N/A,0
1. Lịch trình Khám phá thiên nhiên:,- 7,N/A,00 AM - 8,N/A,N/A,0
1. Lịch trình Khám phá thiên nhiên:,- 8,N/A,30 AM - 12,N/A,N/A,0
1. Lịch trình Khám phá thiên nhiên:,- 12,N/A,30 PM - 1,N/A,N/A,0
1. Lịch trình Khám phá thiên nhiên:,- 2,N/A,00 PM - 4,N/A,N/A,0
1. Lịch trình Khám phá thiên nhiên:,- 6,N/A,00 PM - 7,N/A,N/A,0
1. Lịch trình Khám phá thiên nhiên:,- 9,00 PM - Đêm qua tại Lala Homestay,Hội An (200.000 VNĐ),N/A,N/A,0
1. Lịch trình Khám phá thiên nhiên:,- Ngày 3,N/A,,N/A,N/A,0
1. Lịch trình Khám phá thiên nhiên:,- 7,N/A,00 AM - 8,N/A,N/A,0
1. Lịch trình Khám phá thiên nhiên:,- 9,N/A,00 AM - 12,N/A,N/A,0
2. Lịch trình Du lịch ẩm thực:,- Ngày 1,N/A,,N/A,N/A,0
2. Lịch trình Du lịch ẩm thực:,- Ngày 2,N/A,,N/A,N/A,0
2. Lịch trình Du lịch ẩm thực:,- Ngày 3,N/A,,N/A,N/A,0
3. Lịch trình Văn hóa - lịch sử:,- Ngày 1,N/A,,N/A,N/A,0
3. Lịch trình Văn hóa - lịch sử:,- 9,N/A,00 AM - 12,N/A,N/A,0
3. Lịch trình Văn hóa - lịch sử:,- 12,N/A,30 PM - 1,N/A,N/A,0
3. Lịch trình Văn hóa - lịch sử:,- 2,N/A,00 PM - 5,N/A,N/A,0
3. Lịch trình Văn hóa - lịch sử:,- 6,N/A,00 PM - 7,N/A,N/A,0
3. Lịch trình Văn hóa - lịch sử:,- 9,00 PM - Đêm qua tại Khách sạn Huế,Thừa Thiên Huế (800.000 VNĐ),N/A,N/A,0
3. Lịch trình Văn hóa - lịch sử:,- Ngày 2,N/A,,N/A,N/A,0
3. Lịch trình Văn hóa - lịch sử:,- Ngày 3,N/A,,N/A,N/A,0
